linha;legacyId;numeroEdital;processoAdministrativo;protocolo;modalidade;secretaria;statusLegado;motivoCodigo;motivo;processoInternoRelacionado;origemProcessoRelacionado;objetoResumo
"1605";"5127";"3-DL-133-2023";"3/DL/133/2023";"3250";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Aquisição dos medicamentos, RIVAROXABANA, 20MG COMPRIMIDO REVESTIDO destinados aos pacientes: ADILEUZA SILVA DOS SANTOS, ADRIANA SANTOS SILVA, CONSUELO LEITE DE OLIVEIRA, CARLITO MIRANDA DOS SANTOS, IDALMI PEREIRA NUNES, IZIDRO ALVES DO NASCIMENTO, JOSE LEITE DA SILVA, JOSÉ RODRIGUES COIMBRA, JOSÉ VAILTON DA SILVA, JOVITA GALDINO, MARIA DAS DORES, MARIA DA PENHA BALDAN PAZETTO, sob números de processo nº 0503838-87.2018.8.05.0256, nº 8000469-39.2019.8.05.0256, nº 0501026-08.2019.8.05.0256, nº 8014757-21.2021.8.05.0256, nº 801475721.2021.8.05.0256, nº 80144082-24.2022.8.05.0256, nº 0503494-76.2018.8.05.0256, nº 0504069 -84.2018.8.05.0256, nº 0503741-28.0216.8.05.0256, nº 8012707-22.2021.8.05.0256, nº 0503344-95.2018.8.05.0256, nº 8006414-02.2022.8.05.0256, nº 0504372-98.2018.8.05.0256"
"1606";"5128";"3-DL-134-2023";"3/DL/134/2023";"3250";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"AQUISIÇÃO DOS MEDICAMENTOS, destinados aos pacientes listados a seguir, sob os seus respectivos números de processo, através da Secretaria Municipal de Saúde: JOSÉ DIMAS nº 8019119.66.2021.8.05.0256 ATORVASTATINA 20MG"
"1607";"5129";"3-DL-135-2023";"3/DL/135/2023";"3470";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"O presente Termo tem como objetivo a aquisição do serviço (Manutenção Corretiva e Preventiva em Arco Cirúrgico marca GE modelo OEC 9800 PLUS) instalado no Hospital Municipal Teixeira de Freitas (HMTF), conforme condições, quantidades e exigências estabelecidas neste instrumento."
"1608";"5257";"3-IL-097-2023";"3458";"3458";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Referente prestação de serviços de manutenção do painel eletrônico de votação, seus componentes e periféricos da Câmara Municipal de Teixeira de Freitas/BA, conforme especificações constantes no processo administrativo."
"1609";"5258";"3-IL-098-2023";"3530";"3530";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicita-se médico(a) Anestesiologista para o Hospital Municipal de Teixeira de Freitas (HMTF), conforme Processo Administrativo 2008/2021 - Empresa Credenciada:MED MINAS S/S LTDA, CNPJ: 11.070.272/0001-84"
"1610";"5259";"3-IL-099-2023";"3327";"3327";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicito a contratação de profissional médico ALEX SERAPIÃO DE SOUZA, da empresa ASS ODONTOLOGIA LTDA CNPJ 48.561.490/0001-21, para a prestação de serviços médicos especializados junto à unidade de saúde geridos pela Secretaria Municipal de Saúde deste Município: Unidade HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS (HMTF) conforme edital de credenciamento médico 01 2021, pelo período de 12 meses."
"1611";"5260";"3-IL-100-2023";"3530";"3530";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicita-se Empresa especializada em Radiologia para o Complexo Regulador, conforme Processo Administrativo 2008/2021 - Empresa Credenciada: SUL BAHIA - CLINICA RADIOLOGICA LTDA, CNPJ: 12.433.437/0001-06"
"1612";"5261";"3-IL-101-2023";"3458";"3458";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicito a contratação de profissional médico da empresa CUCHI SERVIÇOS MEDICOS, para a prestação de serviços médicos especializados junto à unidade de saúde geridos pela Secretaria Municipal de Saúde deste Município: Unidade HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS (HMTF) conforme edital de credenciamento médico 01/2021, pelo período de 12 meses."
"1613";"5262";"3-IL-102-2023";"3530";"3530";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE CONFIGURAÇÃO GERAL DE RAMAIS E LINHAS TELEFÔNICAS, PROGRAMAÇÃO E MONITORAÇÃO EM PABX DIGISTAR XIP-500, SUPORTE TÉCNICO E ATUALIZAÇÃO DO SISTEMA, SUPORTE REMOTO VIA WEB, INSTALAÇÃO DE RAMAIS E LINHAS, NESTA CÂMARA MUNICIPAL."
"1614";"5263";"3-IL-107-2023";"3530";"3530";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicita-se Médico(a) Anestesista Para Unidade Municipal Materno Infantil (UMMI),Conforme Processo Administrativo 2008/2021 - Empresa Credenciada: TEIXEIRA CORTELETTI SERVICOS MEDICOS S/S LTDA, CMPJ: 29.272.048/0001-30"
"1615";"5264";"3-IL-109-2023";"3429";"3429";"INEXIGIBILIDADE";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Solicito a contratação do profissional médico DANIEL ALVES ANDRADE DOS ANJOS da empresa ANDRADE DOS ANJOS LTDA, para a prestação de serviços médicos especializados junto à unidade de saúde geridos pela Secretaria Municipal de Saúde deste Município: Unidade HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS (HMTF) conforme edital de credenciamento médico 01/2021, pelo período de 12 meses."
